Date,Open,High,Low,Close,Adj Close,Volume
2020-04-28,51.330002,51.529999,50.810001,50.860001,50.391949,93000
2020-04-29,51.720001,52.189999,51.599998,52.029999,51.551182,69800
2020-04-30,51.750000,51.750000,51.220001,51.410000,50.936886,123600
2020-05-01,50.689999,50.689999,50.070000,50.259998,49.797466,104600
2020-05-04,49.959999,50.400002,49.849998,50.400002,49.936184,121800
2020-05-05,50.590000,51.029999,50.509998,50.590000,50.124432,73700
2020-05-06,50.759998,50.880001,50.290001,50.310001,49.847012,64800
2020-05-07,50.860001,51.090000,50.759998,50.820000,50.352314,45200
2020-05-08,51.410000,51.639999,51.180000,51.639999,51.164768,51200
2020-05-11,51.349998,51.669998,51.240002,51.590000,51.115231,121800
2020-05-12,51.660000,51.799999,50.880001,50.880001,50.411762,133300
2020-05-13,50.970001,50.970001,50.009998,50.220001,49.757835,55900
2020-05-14,49.770000,50.470001,49.349998,50.470001,50.005539,93800
2020-05-15,50.119999,50.520000,50.119999,50.520000,50.055077,81900
2020-05-18,51.430000,52.150002,51.349998,52.029999,51.551182,93200
2020-05-19,51.770000,52.080002,51.529999,51.529999,51.055779,62400
2020-05-20,52.080002,52.459999,52.080002,52.369999,51.888050,41000
2020-05-21,52.310001,52.419998,51.849998,51.930000,51.452103,50100
2020-05-22,51.860001,51.970001,51.639999,51.970001,51.491734,83200
2020-05-26,52.959999,53.099998,52.750000,52.759998,52.274460,117800
2020-05-27,53.230000,53.360001,52.619999,53.299999,52.809494,50800
2020-05-28,53.580002,53.900002,53.349998,53.349998,52.859028,69200
2020-05-29,53.290001,53.540001,52.980000,53.500000,53.007652,67200
2020-06-01,53.509998,54.080002,53.509998,53.959999,53.463421,68400
2020-06-02,54.150002,54.490002,54.150002,54.490002,53.988544,33600
2020-06-03,54.930000,55.400002,54.849998,55.330002,54.820812,71800
2020-06-04,55.139999,55.299999,54.950001,55.110001,54.602837,44800
2020-06-05,55.939999,56.419998,55.939999,56.099998,55.583721,97800
2020-06-08,56.310001,56.720001,56.160000,56.680000,56.158386,63300
2020-06-09,56.220001,56.459999,56.099998,56.389999,55.871056,54400
2020-06-10,56.349998,56.500000,55.950001,56.180000,55.662991,116700
2020-06-11,55.070000,55.070000,53.439999,53.580002,53.086918,86700
2020-06-12,54.549999,54.709999,53.470001,54.090000,53.592220,73400
2020-06-15,53.180000,54.630001,53.180000,54.369999,53.869644,91000
2020-06-16,55.430000,55.549999,54.619999,55.110001,54.602837,89000
2020-06-17,55.400002,55.430000,55.070000,55.070000,54.563206,29800
2020-06-18,54.820000,55.099998,54.770000,55.060001,54.553299,41400
2020-06-19,55.520000,55.520000,54.680000,54.889999,54.384861,39000
2020-06-22,54.849998,55.250000,54.849998,55.230000,54.721733,129900
2020-06-23,55.590000,55.779999,55.400002,55.459999,54.949612,31700
2020-06-24,55.020000,55.139999,54.099998,54.369999,53.869644,62300
